# protocol 401
codecs:
Handshake Serverbound 0x00 minecraft:intention HandshakeCodecs.Intention read:5 shape:varint,string,ushort,varint
Status Clientbound 0x00 minecraft:status_response StatusCodecs.Response read:1 shape:string
Status Clientbound 0x01 minecraft:pong_response StatusCodecs.Pong read:8 shape:long
Status Serverbound 0x00 minecraft:status_request StatusCodecs.Request read:0 shape:empty
Status Serverbound 0x01 minecraft:ping_request StatusCodecs.Ping read:8 shape:long
Login Clientbound 0x00 minecraft:login_disconnect LoginCodecs.DisconnectV1_8 fault:ComponentFormatException shape:login_disconnect(rawuuid=0,helloprofile=0,finishedprops=0,finishedsession=0,helloauth=0,legacyreason=1,literalreason=0)
Login Clientbound 0x01 minecraft:hello LoginCodecs.ServerHelloV1_8 read:3 shape:server_hello(rawuuid=0,helloprofile=0,finishedprops=0,finishedsession=0,helloauth=0,legacyreason=1,literalreason=0)
Login Clientbound 0x02 minecraft:login_finished LoginCodecs.FinishedV1_8 fault:FormatException shape:login_finished(rawuuid=0,helloprofile=0,finishedprops=0,finishedsession=0,helloauth=0,legacyreason=1,literalreason=0)
Login Clientbound 0x03 minecraft:login_compression LoginCodecs.Compression read:1 shape:varint
Login Clientbound 0x04 minecraft:custom_query LoginChannelCodecs.CustomQuery fault:FormatException shape:varint,identifier,raw_tail
Login Serverbound 0x00 minecraft:hello LoginCodecs.ClientHelloV1_8 read:1 shape:client_hello(rawuuid=0,helloprofile=0,finishedprops=0,finishedsession=0,helloauth=0,legacyreason=1,literalreason=0)
Login Serverbound 0x01 minecraft:key LoginCodecs.Key read:2 shape:bytes,bytes
Login Serverbound 0x02 minecraft:custom_query_answer LoginChannelCodecs.CustomQueryAnswer read:2 via:minecraft:custom_query shape:varint,bool,raw_tail
Play Clientbound 0x00 minecraft:add_entity EntitySpawnCodecs.AddEntityV1_9 read:54 shape:opaque
Play Clientbound 0x01 minecraft:add_experience_orb EntitySpawnCodecs.AddExperienceOrbV1_9 read:27 shape:opaque
Play Clientbound 0x02 minecraft:add_global_entity marker n/a shape:opaque
Play Clientbound 0x03 minecraft:add_mob EntitySpawnCodecs.AddMobV1_13 fault:ProtocolViolationException shape:varint,uuid,varint,3*double,3*angle,3*short,metadata|varinttype=1,PrePacked114,metadata/1d62bbc7
Play Clientbound 0x04 minecraft:add_painting EntitySpawnCodecs.AddPaintingV1_13 read:27 shape:opaque
Play Clientbound 0x05 minecraft:add_player EntitySpawnCodecs.AddPlayerV1_13 fault:ProtocolViolationException shape:varint,uuid,3*double,2*angle,metadata|PrePacked114,metadata/1d62bbc7
Play Clientbound 0x06 minecraft:animate EntityStateCodecs.Animate read:2 shape:opaque
Play Clientbound 0x07 minecraft:award_stats marker n/a shape:opaque
Play Clientbound 0x08 minecraft:block_destruction WorldBlockCodecs.BlockDestructionV1_8 read:10 shape:opaque
Play Clientbound 0x09 minecraft:block_entity_data WorldBlockCodecs.BlockEntityDataV1_8 read:10 shape:block_entity_data(PrePacked114,bytetype=1,JavaNamedRoot)
Play Clientbound 0x0A minecraft:block_event WorldBlockCodecs.BlockEventV1_8 read:11 shape:opaque
Play Clientbound 0x0B minecraft:block_update WorldBlockCodecs.BlockUpdateV1_8 read:9 shape:block_pos,varint|PrePacked114
Play Clientbound 0x0C minecraft:boss_event BossBarCodecs.BossEventV1_9 fault:ComponentFormatException shape:uuid,varint,per_operation_fields|json
Play Clientbound 0x0D minecraft:change_difficulty WorldStateCodecs.ChangeDifficultyV1_8 read:1 shape:opaque
Play Clientbound 0x0E minecraft:chat ChatCodecs.ClientLegacyV1_8 fault:ComponentFormatException shape:opaque
Play Clientbound 0x0F minecraft:section_blocks_update WorldBlockCodecs.SectionBlocksUpdateV1_8 read:9 via:minecraft:chunk_blocks_update shape:opaque
Play Clientbound 0x10 minecraft:command_suggestions CommandSuggestionCodecs.CommandSuggestionsV1_13 read:4 shape:opaque
Play Clientbound 0x11 minecraft:commands CommandTreeCodecs.V1_13 fault:ProtocolViolationException shape:opaque
Play Clientbound 0x12 minecraft:transaction ContainerCodecs.TransactionClientV1_8 read:4 via:minecraft:container_ack shape:opaque
Play Clientbound 0x13 minecraft:container_close ContainerCodecs.ContainerCloseClientV1_8 read:1 shape:opaque
Play Clientbound 0x14 minecraft:open_screen ContainerCodecs.OpenScreenV1_8 fault:ComponentFormatException shape:opaque
Play Clientbound 0x15 minecraft:container_set_content ContainerCodecs.ContainerSetContentV1_13 read:3 shape:opaque
Play Clientbound 0x16 minecraft:container_set_data ContainerCodecs.ContainerSetDataV1_8 read:5 shape:opaque
Play Clientbound 0x17 minecraft:container_set_slot ContainerCodecs.ContainerSetSlotV1_13 fault:ProtocolViolationException shape:opaque
Play Clientbound 0x18 minecraft:cooldown UiMiscCodecs.CooldownV1_9 read:2 shape:opaque
Play Clientbound 0x19 minecraft:custom_payload marker n/a shape:opaque
Play Clientbound 0x1A minecraft:custom_sound WorldEffectCodecs.CustomSoundV1_10 read:22 shape:opaque
Play Clientbound 0x1B minecraft:disconnect PlayCommonCodecs.DisconnectV1_8 fault:ComponentFormatException shape:component|json
Play Clientbound 0x1C minecraft:entity_event EntityStateCodecs.EntityEvent read:5 shape:opaque
Play Clientbound 0x1D minecraft:tag_query marker n/a shape:opaque
Play Clientbound 0x1E minecraft:explode WorldEffectCodecs.ExplodeV1_8 read:32 shape:opaque
Play Clientbound 0x1F minecraft:forget_level_chunk WorldStateCodecs.ForgetLevelChunkV1_9 read:8 shape:opaque
Play Clientbound 0x20 minecraft:game_event WorldStateCodecs.GameEventV1_8 read:5 shape:opaque
Play Clientbound 0x21 minecraft:keep_alive PlayKeepAliveCodecs.ClientV1_12_2 read:8 shape:long
Play Clientbound 0x22 minecraft:level_chunk_with_light ChunkCodecs.V1_13 read:256 via:minecraft:level_chunk shape:opaque
Play Clientbound 0x23 minecraft:level_event WorldEffectCodecs.LevelEventV1_8 read:17 shape:opaque
Play Clientbound 0x24 minecraft:level_particles WorldEffectCodecs.LevelParticlesV1_13 read:256 shape:opaque
Play Clientbound 0x25 minecraft:login JoinGameCodecs.V1_9_1 read:13 shape:opaque
