# protocol 771
codecs:
Handshake Serverbound 0x00 minecraft:intention HandshakeCodecs.Intention read:5 shape:varint,string,ushort,varint
Status Clientbound 0x00 minecraft:status_response StatusCodecs.Response read:1 shape:string
Status Clientbound 0x01 minecraft:pong_response StatusCodecs.Pong read:8 shape:long
Status Serverbound 0x00 minecraft:status_request StatusCodecs.Request read:0 shape:empty
Status Serverbound 0x01 minecraft:ping_request StatusCodecs.Ping read:8 shape:long
Login Clientbound 0x00 minecraft:login_disconnect LoginCodecs.DisconnectV1_21_5 fault:ComponentFormatException shape:login_disconnect(rawuuid=1,helloprofile=1,finishedprops=1,finishedsession=0,helloauth=1,legacyreason=0,literalreason=1)
Login Clientbound 0x01 minecraft:hello LoginCodecs.ServerHelloV1_20_5 read:4 shape:server_hello(rawuuid=1,helloprofile=1,finishedprops=1,finishedsession=0,helloauth=1,legacyreason=0,literalreason=1)
Login Clientbound 0x02 minecraft:login_finished LoginCodecs.FinishedV1_19 read:18 shape:login_finished(rawuuid=1,helloprofile=1,finishedprops=1,finishedsession=0,helloauth=1,legacyreason=0,literalreason=1)
Login Clientbound 0x03 minecraft:login_compression LoginCodecs.Compression read:1 shape:varint
Login Clientbound 0x04 minecraft:custom_query LoginChannelCodecs.CustomQuery fault:FormatException shape:varint,identifier,raw_tail
Login Clientbound 0x05 minecraft:cookie_request LoginChannelCodecs.LoginCookieRequest fault:FormatException shape:identifier
Login Serverbound 0x00 minecraft:hello LoginCodecs.ClientHelloV1_20_2 read:17 shape:client_hello(rawuuid=1,helloprofile=1,finishedprops=1,finishedsession=0,helloauth=1,legacyreason=0,literalreason=1)
Login Serverbound 0x01 minecraft:key LoginCodecs.Key read:2 shape:bytes,bytes
Login Serverbound 0x02 minecraft:custom_query_answer LoginChannelCodecs.CustomQueryAnswer read:2 shape:varint,bool,raw_tail
Login Serverbound 0x03 minecraft:login_acknowledged LoginCodecs.LoginAcknowledged read:0 shape:empty
Login Serverbound 0x04 minecraft:cookie_response LoginChannelCodecs.LoginCookieResponse fault:FormatException shape:identifier,opt_bytes
Configuration Clientbound 0x00 minecraft:cookie_request ConfigurationCodecs.ConfigCookieRequest fault:FormatException shape:opaque
Configuration Clientbound 0x01 minecraft:custom_payload ConfigurationCodecs.ConfigCustomPayloadClient fault:FormatException shape:opaque
Configuration Clientbound 0x02 minecraft:disconnect ConfigurationCodecs.DisconnectV1_21_5 fault:ComponentFormatException shape:component|nbt/modern
Configuration Clientbound 0x03 minecraft:finish_configuration ConfigurationCodecs.FinishClient read:0 shape:opaque
Configuration Clientbound 0x04 minecraft:keep_alive ConfigurationCodecs.KeepAliveClient read:8 shape:opaque
Configuration Clientbound 0x05 minecraft:ping ConfigurationCodecs.Ping read:4 shape:opaque
Configuration Clientbound 0x06 minecraft:reset_chat ConfigurationCodecs.ResetChat read:0 shape:empty
Configuration Clientbound 0x07 minecraft:registry_data ConfigurationCodecs.RegistryData fault:FormatException shape:opaque
Configuration Clientbound 0x08 minecraft:resource_pack_pop ConfigurationCodecs.ResourcePackPop read:1 shape:opaque
Configuration Clientbound 0x09 minecraft:resource_pack_push ConfigurationCodecs.ResourcePackPushV1_21_5 read:20 shape:uuid,string,string,bool,opt_component|nbt/modern
Configuration Clientbound 0x0A minecraft:store_cookie ConfigurationCodecs.StoreCookie fault:FormatException shape:opaque
Configuration Clientbound 0x0B minecraft:transfer ConfigurationCodecs.Transfer read:2 shape:string,varint
Configuration Clientbound 0x0C minecraft:update_enabled_features ConfigurationCodecs.UpdateEnabledFeatures read:1 shape:opaque
Configuration Clientbound 0x0D minecraft:update_tags ConfigurationCodecs.UpdateTags read:1 shape:opaque
Configuration Clientbound 0x0E minecraft:select_known_packs ConfigurationCodecs.SelectPacksClient read:1 shape:opaque
Configuration Clientbound 0x0F minecraft:custom_report_details ConfigurationCodecs.CustomReportDetails read:1 shape:opaque
Configuration Clientbound 0x10 minecraft:server_links ConfigurationCodecs.ServerLinksV1_21_5 read:1 shape:varint*server_link|nbt/modern
Configuration Clientbound 0x11 minecraft:clear_dialog ConfigurationCodecs.ClearDialog read:0 shape:opaque
Configuration Clientbound 0x12 minecraft:show_dialog ConfigurationCodecs.ShowDialog read:1 shape:opaque
Configuration Serverbound 0x00 minecraft:client_information ConfigurationCodecs.ClientInformation read:9 shape:opaque
Configuration Serverbound 0x01 minecraft:cookie_response ConfigurationCodecs.ConfigCookieResponse fault:FormatException shape:opaque
Configuration Serverbound 0x02 minecraft:custom_payload ConfigurationCodecs.ConfigCustomPayloadServer fault:FormatException shape:opaque
Configuration Serverbound 0x03 minecraft:finish_configuration ConfigurationCodecs.FinishServer read:0 shape:opaque
Configuration Serverbound 0x04 minecraft:keep_alive ConfigurationCodecs.KeepAliveServer read:8 shape:opaque
Configuration Serverbound 0x05 minecraft:pong ConfigurationCodecs.Pong read:4 shape:opaque
Configuration Serverbound 0x06 minecraft:resource_pack ConfigurationCodecs.ResourcePackResponseV1_20_3 read:17 shape:opaque
Configuration Serverbound 0x07 minecraft:select_known_packs ConfigurationCodecs.SelectPacksServer read:1 shape:opaque
Configuration Serverbound 0x08 minecraft:custom_click_action ConfigurationCodecs.CustomClickAction fault:FormatException shape:opaque
Play Clientbound 0x00 minecraft:bundle_delimiter PlayCommonCodecs.BundleDelimiter read:0 shape:opaque
Play Clientbound 0x01 minecraft:add_entity EntitySpawnCodecs.AddEntityV1_19 read:52 shape:opaque
Play Clientbound 0x02 minecraft:animate EntityStateCodecs.Animate read:2 shape:opaque
Play Clientbound 0x03 minecraft:award_stats marker n/a shape:opaque
Play Clientbound 0x04 minecraft:block_changed_ack WorldBlockCodecs.BlockChangedAckV1_19 read:1 shape:opaque
Play Clientbound 0x05 minecraft:block_destruction WorldBlockCodecs.BlockDestructionV1_14 read:10 shape:opaque
Play Clientbound 0x06 minecraft:block_entity_data WorldBlockCodecs.BlockEntityDataV1_20_2 read:10 shape:block_entity_data(Packed114,bytetype=0,JavaUnnamedRoot)
Play Clientbound 0x07 minecraft:block_event WorldBlockCodecs.BlockEventV1_14 read:11 shape:opaque
